city,year,Ctnm,Cttyp,GDP,Gdpct01,Gdpct02,Gdpct03,GDP_PerCapita,GDP_PrimInd,GDP_SecInd,GDP_TerInd,Eect04,Eect05,Eect06,Eect08,Eect09,Eect10,Eect11,Eect12,wage,hpopu,urban,nightLight
4420,2015,中山市,地级市,3010.0326,2.21,54.24,43.55,94030.0,665217.2045999999,16326416.8224,13108691.973,891.26,82.9382,101.5557,0.0,76.05,23.95,83.2,4890031.0,58776.0,158.68,88.12000274658203,8.240129592375311
4419,2015,东莞市,地级市,6275.0737,0.34,46.57,53.1,75616.0,213352.5058,29223018.2209,33320641.347,792.68,232.2753,242.0224,0.01,82.6,17.38,231.26,12308012.0,53221.0,195.01,88.81999969482422,12.80971065206295
4451,2015,潮州市,地级市,910.1099,7.06,53.21,39.73,33954.0,642537.5893999999,4842694.7779,3615866.6327,867.77,19.789,14.4384,0.08,56.31,43.61,19.69,954541.0,48471.0,272.8,63.79999923706055,1.474172786286507
4453,2015,云浮市,地级市,713.1416,20.91,42.56,36.53,29078.0,1491179.0856,3035130.6496,2605106.2648,384.07,22.2043,21.6826,0.27,46.43,53.3,21.42,1069621.0,49934.0,298.93,40.22999954223633,0.3200636333288606
4416,2015,河源市,地级市,810.0793,11.61,45.71,42.68,26401.0,940502.0673,3702872.4803,3457418.4524,233.81,27.0731,35.8307,0.33,50.52,49.15,26.47,1361800.0,51456.0,366.41,42.15000152587891,0.2279974491714929
4406,2015,佛山市,地级市,8003.9186,1.7,60.46,37.83,108299.0,1360666.162,48391691.8556,30278824.0638,1024.22,170.0391,136.7758,0.01,73.84,26.15,168.84,10436199.0,61810.0,388.97,94.94000244140624,7.635326128079363
4414,2015,梅州市,地级市,959.7781,19.64,36.66,43.7,22155.0,1885004.1884,3518546.5146,4194230.297000001,343.89,29.3176,16.4273,0.2,40.41,59.39,28.18,1519988.0,54018.0,543.79,47.79000091552734,0.2020576956698924
4404,2015,珠海市,地级市,2025.4111,2.23,49.73,48.04,124706.0,451666.6753,10072369.4003,9730074.9244,646.65,74.2715,27.5556,0.91,62.15,36.94,69.05,4699146.0,67958.0,112.45,88.06999969482422,4.044255049369323
4408,2015,湛江市,地级市,2380.0243,19.1,38.15,42.74,32933.0,4545846.413,9079792.7045,10172223.8582,620.62,51.0304,27.5556,3.44,37.23,59.34,48.89,2453144.0,50177.0,822.96,40.7400016784668,0.5380886381899976
4409,2015,茂名市,地级市,2445.63,15.74,41.22,43.04,40324.0,3849421.62,10080886.86,10525991.52,687.72,45.662,28.9565,1.73,44.28,53.99,42.88,2274228.0,53036.0,785.84,40.02000045776367,0.4022307880368223
4452,2015,揭阳市,地级市,1890.0144,8.87,59.6,31.52,31255.0,1676442.7728,11264485.824,5957325.3888,1339.69,41.8208,53.908,0.5,57.59,41.9,40.73,1828104.0,44878.0,701.68,50.88999938964844,1.511308928031878
4311,2015,永州市,地级市,1418.1762,21.76,36.53,41.71,26222.0,3085951.4112,5180597.658600001,5915212.930200001,285.27,32.3,29.64,0.99,35.26,63.75,29.51,1314854.0,44553.0,635.28,44.25,0.0813842303235149
4210,2015,荆州市,地级市,1590.5,22.19,43.7,34.1,27781.0,3530100.0,6951200.0,5423700.0,451.45,42.78,42.0395,3.48,44.48,52.03,37.22,1703899.0,39565.0,643.19,51.20000076293945,0.1894402640793576
4302,2015,株洲市,地级市,2335.1075,7.69,57.26,35.05,58661.0,1795697.6675,13370825.545,8184551.7875,357.52,46.474,74.31,0.09,55.57,44.34,42.45,2444644.0,57584.0,402.92,62.09999847412109,0.29997604642852
2307,2015,伊春市,地级市,248.2,42.8,20.7,36.5,20414.0,1063000.0,512000.0,906000.0,36.89,17.398,15.4126,53.65,14.7,31.64,15.9,566046.0,35656.0,121.1895,85.37999725341797,0.0114592837436818
4117,2015,驻马店市,地级市,1807.6928,22.26703010600031,39.84336276606291,37.88960712793678,27001.0,4025195.0,7202456.0,6849277.0,617.25,73.6475,46.1666,0.71,48.6,50.69,63.94,2531442.0,37680.0,905.211,38.04999923706055,0.3356848047784127
4116,2015,周口市,地级市,2089.6975,21.72658961404701,45.92100531296993,32.35240507298305,23728.0,4540200.0,9596101.0,6760674.0,1040.05,70.3993,49.8933,0.58,49.53,49.9,66.54,2839149.0,42666.0,1141.944,37.84999847412109,0.2964965860023437
4115,2015,信阳市,地级市,1879.6676,24.14559361453057,39.90440118242183,35.9500052030476,30157.0,4538569.0,7500701.0,6757406.0,477.99,63.1106,40.9667,0.5,43.92,55.57,58.51,2064397.0,84289.0,869.769,42.77000045776367,0.1480414853585543
4107,2015,新乡市,地级市,1975.0287,11.27918293035438,49.75659847373358,38.96421859591205,34340.0,2227671.0,9827071.0,7695545.0,735.06,68.5918,38.8177,0.07,63.09,36.84,59.82,2445173.0,40873.0,606.873,49.02999877929688,0.7267612323317805
4101,2015,郑州市,地级市,7311.521,2.064154640327232,49.29412224898212,48.64172311069065,77179.0,1509211.0,36041501.0,35564498.0,1087.83,198.5732,122.2892,0.08,55.5,44.42,185.28,9817365.0,52987.0,770.436,69.69000244140625,3.29885215916282
4114,2015,商丘市,地级市,1812.1623,20.80210475629032,41.78645036374502,37.41144487996468,24940.0,3769679.0,7572383.0,6779561.0,897.8,70.2036,61.3515,0.09,49.31,50.6,61.41,2692527.0,43845.0,909.47,38.22999954223633,0.5110379555303691
4104,2015,平顶山市,地级市,1686.006,9.907615987131718,50.63799298460385,39.45439102826443,33984.0,1670430.0,8537596.0,6652034.0,713.02,55.8658,25.3379,0.05,57.42,42.53,53.69,2418333.0,45046.0,543.626,49.20999908447266,0.6430964793483542
4111,2015,漯河市,地级市,992.5895,10.72009123610516,62.94127632823034,26.33863243566449,37987.0,1064065.0,6247485.0,2614345.0,995.54,33.1813,28.3556,0.01,62.62,37.37,32.03,1325690.0,41389.0,278.885,47.54000091552734,1.065187394884876
4106,2015,鹤壁市,地级市,715.6528,8.642710543436706,65.42935345184145,25.92793600472184,44778.0,618518.0,4682470.0,1855540.0,774.52,23.4716,15.7883,0.08,69.76,30.16,23.41,809958.0,39646.0,163.014,55.65999984741211,0.8949366577850936
4112,2015,三门峡市,地级市,1251.0383,9.469654126496367,58.18397406378367,32.34637180971998,55681.0,1184690.0,7279038.0,4046655.0,217.23,27.3599,14.3552,0.34,50.81,48.85,26.31,1172807.0,44573.0,228.53,51.61000061035156,0.2709914902937827
4103,2015,洛阳市,地级市,3469.0273,6.814408753716062,48.86246066728849,44.32313057899544,51692.0,2363937.0,16950521.0,15375815.0,477.82,74.7762,80.9693,0.13,51.48,48.39,70.08,3259676.0,46515.0,700.28,52.65000152587891,0.5397905979888593
